Respondent.Serial,sample_group,idfx,respID,sernofx,S1,S2,respondent_age,hAgeRecode,S3,S4,S5,S6,S7 (1/9),S7 (2/9),S7 (3/9),S7 (4/9),S7 (5/9),S7 (6/9),S7 (7/9),S7 (8/9),S7 (9/9),Q1,Q2,Q3,Q4,Q5 (1/24),Q5 (2/24),Q5 (3/24),Q5 (4/24),Q5 (5/24),Q5 (6/24),Q5 (7/24),Q5 (8/24),Q5 (9/24),Q5 (10/24),Q5 (11/24),Q5 (12/24),Q5 (13/24),Q5 (14/24),Q5 (15/24),Q5 (16/24),Q5 (17/24),Q5 (18/24),Q5 (19/24),Q5 (20/24),Q5 (21/24),Q5 (22/24),Q5 (23/24),Q5 (24/24),OB1_loop[{_01}].OB1,OB1_loop[{_02}].OB1,OB1_loop[{_03}].OB1,OB1_loop[{_04}].OB1,OB1_loop[{_05}].OB1,OB1_loop[{_06}].OB1,OB1_loop[{_07}].OB1,OB1_loop[{_08}].OB1,OB1_loop[{_09}].OB1,OB1_loop[{_10}].OB1,OB1_loop[{_11}].OB1,OB1_loop[{_12}].OB1,OB1_loop[{_13}].OB1,OB1_loop[{_14}].OB1,OB2,OB3,OB4 (1/8),OB4 (2/8),OB4 (3/8),OB4 (4/8),OB4 (5/8),OB4 (6/8),OB4 (7/8),OB4 (8/8),OB5_loop[{_01}].OB5,OB5_loop[{_02}].OB5,OB5_loop[{_03}].OB5,OB5_loop[{_04}].OB5,OB5_loop[{_05}].OB5,OB5_loop[{_06}].OB5,OB5_loop[{_07}].OB5,OB5_loop[{_Other}].OB5,C0,C1,hCompanySize,C2,C3,C4,C5,C6 (1/6),C6 (2/6),C6 (3/6),C6 (4/6),C6 (5/6),C6 (6/6),C7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,gen_pop,74NFJ7,74NFJ7,8,_02,1988,37,age_04,_05,_01,_Other,_07,_04,_06,_07,,,,,,,_04,I work for and with amazing team,_02,,,,,,,,,,,,,,,,,,,,,,,,,,_03,_03,_03,_03,_01,_02,_03,_03,_03,_04,_03,_04,_04,_03,_05,_01,_03,,,,,,,,,,_03,,,,,,Yes,_08,company_05,_10,_03,_05,_05,_02,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,gen_pop,8134FH,8134FH,10,_02,1973,52,age_05,_04,_01,_01,_01,_01,_02,_03,_08,,,,,,_05,Love security and the technology solutions we can solve for our clients.,_01,,,,,,,,,,,,,,,,,,,,,,,,,,_04,_04,_04,_04,_01,_01,_03,_03,_04,_04,_04,_04,_04,_04,_05,_04,_05,_07,_01,_02,_04,_06,,,_05,_05,,_05,_05,_05,_05,,Yes,_03,company_02,_03,_04,_01,_08,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,gen_pop,G55D6I,G55D6I,14,_02,1969,56,age_06,_06,_01,_02,_04,_03,,,,,,,,,_03,Male populated. High tariffs now.,_03,_03,_09,_24,_03,_02,_18,_19,_04,,,,,,,,,,,,,,,,,,_04,_04,_04,_04,_03,_04,_04,_03,_04,_04,_03,_03,_03,_04,_03,_02,_03,_07,_04,_02,_05,_06,_01,,_04,_03,_03,_03,_03,_03,_04,,Yes,_08,company_05,_08,_04,_01,_06,none,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,gen_pop,AM39GJ,AM39GJ,15,_02,1976,49,age_05,_07,_01,_01,_02,_01,,,,,,,,,_05,Serving a purpose and delivering excellence.,_01,,,,,,,,,,,,,,,,,,,,,,,,,,_01,_02,_02,_02,_01,_01,_03,_03,_04,_04,_04,_04,_04,_04,_02,_01,_06,_05,,,,,,,,,,,_05,_05,,,Yes,_08,company_05,_10,_04,_01,_09,_01,_04,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,gen_pop,CEF4MF,CEF4MF,17,_02,1970,55,age_06,_06,_01,_03,_04,_04,,,,,,,,,_03,Our company was recently acquired and I’m still adjusting to the changes.,_02,,,,,,,,,,,,,,,,,,,,,,,,,,_03,_04,_04,_03,_02,_01,_04,_03,_03,_03,_03,_03,_03,_04,_03,_01,_02,_05,_04,,,,,,,_03,,_02,_04,,,,Yes,_07,company_05,_07,_01,_01,_06,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,gen_pop,I9NA71,I9NA71,18,_02,1982,43,age_04,_02,_01,_02,_04,_02,,,,,,,,,_03,Very hard to navigate in the public sector,_03,_01,_04,_18,_02,,,,,,,,,,,,,,,,,,,,,,_03,_03,_03,_04,_02,_03,_02,_02,_04,_04,_04,_04,_04,_03,_01,_01,_06,_Other,,,,,,,,,,,,_03,,_04,Yes,_08,company_05,_08,_04,_03,_07,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,gen_pop,LND6C8,LND6C8,24,_02,1984,41,age_04,_06,_01,_02,_04,_02,_04,,,,,,,,_05,I have had incredible opportunities. I love my coworkers and love waking every day to make the world a safer place.,_01,,,,,,,,,,,,,,,,,,,,,,,,,,_02,_04,_03,_03,_04,_02,_02,_03,_04,_04,_04,_04,_04,_04,_03,_01,_05,,,,,,,,,,,,_04,,,,Yes,_08,company_05,_09,_01,_02,_08,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,gen_pop,K46LFB,K46LFB,25,_02,1974,51,age_05,_06,_01,_02,_05,_02,,,,,,,,,_03,It is still a clique of men and very difficult to break through,_02,,,,,,,,,,,,,,,,,,,,,,,,,,_04,_04,_04,_04,_03,_02,_04,_04,_04,_04,_04,_03,_04,_04,_02,_01,_03,_06,_05,_Other,,,,,,,_03,,_04,_03,,_05,Yes,_08,company_05,_10,_01,_01,_07,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,gen_pop,6I34II,6I34II,26,_02,1987,38,age_04,_06,_01,_03,_04,_04,,,,,,,,,_04,"I am very happy at my company as I have many opportunities to innovate, collaborate, explore and grow with technologies in the industry and for my career advancement",_01,,,,,,,,,,,,,,,,,,,,,,,,,,_02,_01,_01,_01,_01,_01,_03,_01,_03,_04,_04,_04,_04,_04,_02,_01,_05,_06,_01,,,,,,_05,,,,_04,_03,,,Yes,_08,company_05,_10,_01,_03,_09,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,gen_pop,CDDDLL,CDDDLL,27,_02,1964,61,age_06,_05,_01,_02,_04,_Other,,,,,,,,,_04,"Great culture, opportunities to network and act as a thought leader.",_02,,,,,,,,,,,,,,,,,,,,,,,,,,_04,_04,_04,_03,_04,_03,_04,_04,_04,_04,_04,_04,_04,_04,_05,_01,_07,_05,_06,,,,,,,,,,_04,_04,_04,,Yes,_08,company_05,_10,_04,_01,_08,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,gen_pop,AH8LFN,AH8LFN,29,_02,1991,34,age_03,_06,_01,_02,_Other,_02,_Other,,,,,,,,_03,"It’s amazing to see the growth of women in this industry but we have a long way to go, especially at my current company",_05,_03,_11,_13,_08,_Other,,,,,,,,,,,,,,,,,,,,,_04,_04,_04,_02,_02,_02,_04,_04,_04,_04,_04,_03,_03,_04,_02,_02,_06,_05,_07,,,,,,,,,,_03,_03,_05,,Yes,_08,company_05,_09,_01,_03,_09,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,gen_pop,4JDENE,4JDENE,30,_02,1978,47,age_05,_03,_01,_02,_02,_01,_02,,,,,,,,_04,"Security is a rewarding and fast paced industry that makes a meaningful impact on society.  It would be great if we could slow up a bit, and focus on meaningful changes rather than just shifting to the next shiny thing.",_03,_03,_02,_09,,,,,,,,,,,,,,,,,,,,,,,_03,_04,_04,_03,_02,_03,_03,_03,_04,_04,_04,_04,_04,_04,_04,_01,_05,_01,_07,_02,_06,_04,,,_04,_03,,_04,_04,_04,_03,,Yes,_08,company_05,_10,_01,_03,_09,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,gen_pop,6GJ2E2,6GJ2E2,31,_02,1991,34,age_03,_05,_01,_Other,_Other,_06,_08,,,,,,,,_04,"I think myself and my team do an important job as we are the executive protection team, and protect the banks assets, being our ceo and executives. I think over the last year we have been able to really grow our team and put in place policies and procedures to keep our people safe and secure.",_01,,,,,,,,,,,,,,,,,,,,,,,,,,_03,_04,_04,_04,_02,_02,_04,_03,_03,_03,_03,_03,_03,_03,_04,_01,_04,_05,,,,,,,,,,_03,_04,,,,Yes,_08,company_05,_10,_04,_01,_06,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
