Respondent.Serial,S1,respondent_age,S3,S4,S5,S6,S7 (1/9),S7 (2/9),S7 (3/9),S7 (4/9),S7 (5/9),S7 (6/9),S7 (7/9),S7 (8/9),S7 (9/9),Q1,Q2
8,_02,37,_05,_01,_Other,_07,_04,_06,_07,,,,,,,_04,I work for and with amazing team
10,_02,52,_04,_01,_01,_01,_01,_02,_03,_08,,,,,,_05,Love security and the technology solutions we can solve for our clients.
14,_02,56,_06,_01,_02,_04,_03,,,,,,,,,_03,Male populated. High tariffs now.
15,_02,49,_07,_01,_01,_02,_01,,,,,,,,,_05,Serving a purpose and delivering excellence.
17,_02,55,_06,_01,_03,_04,_04,,,,,,,,,_03,Our company was recently acquired and I’m still adjusting to the changes.
18,_02,43,_02,_01,_02,_04,_02,,,,,,,,,_03,Very hard to navigate in the public sector
24,_02,41,_06,_01,_02,_04,_02,_04,,,,,,,,_05,I have had incredible opportunities. I love my coworkers and love waking every day to make the world a safer place.
25,_02,51,_06,_01,_02,_05,_02,,,,,,,,,_03,It is still a clique of men and very difficult to break through
26,_02,38,_06,_01,_03,_04,_04,,,,,,,,,_04,"I am very happy at my company as I have many opportunities to innovate, collaborate, explore and grow with technologies in the industry and for my career advancement"
27,_02,61,_05,_01,_02,_04,_Other,,,,,,,,,_04,"Great culture, opportunities to network and act as a thought leader."
29,_02,34,_06,_01,_02,_Other,_02,_Other,,,,,,,,_03,"It’s amazing to see the growth of women in this industry but we have a long way to go, especially at my current company"
30,_02,47,_03,_01,_02,_02,_01,_02,,,,,,,,_04,"Security is a rewarding and fast paced industry that makes a meaningful impact on society.  It would be great if we could slow up a bit, and focus on meaningful changes rather than just shifting to the next shiny thing."
31,_02,34,_05,_01,_Other,_Other,_06,_08,,,,,,,,_04,"I think myself and my team do an important job as we are the executive protection team, and protect the banks assets, being our ceo and executives. I think over the last year we have been able to really grow our team and put in place policies and procedures to keep our people safe and secure."
38,_02,45,_06,_01,_05,_04,_04,_06,_07,,,,,,,_04,I feel like what we do truly matters! Even though it’s a thankless job a success in my eyes are no security incidents or events.
40,_02,56,_06,_01,_04,_04,_06,,,,,,,,,_05,I am trusted and valued.
42,_02,61,_07,_01,_04,_02,_01,_06,,,,,,,,_02,Lack of access to senior leadership. Lack of support.
43,_02,43,_05,_01,_03,_07,_04,_08,,,,,,,,_02,Limited growth potential
45,_02,39,_05,_01,_03,_03,_Other,,,,,,,,,_04,I work for a company that supports growth. This is a strong industry that is resilient during economic imbalances
46,_02,57,_07,_01,_02,_03,_Other,,,,,,,,,_03,"First time in my 35+ year career that I have questioned myself. Gas lighting is real, imposter syndrome is real."
50,_02,48,_05,_01,_03,_04,_08,,,,,,,,,_04,I feel that my work makes an impact on the Security Officers within my company
56,_02,41,_04,_01,_02,_04,_03,,,,,,,,,_03,Promotions/growth
57,_02,36,_06,_01,_Other,_Other,_06,,,,,,,,,_04,I love working for Ally and I’ve had the opportunity to grow with in the company.
59,_02,42,_05,_01,_03,_04,_04,,,,,,,,,_04,Empowered to use my expertise in a creative way.
61,_02,52,_07,_01,_04,_07,_06,,,,,,,,,_04,My career has been able to evolve and change over the last 27 years and keep me challenged.
65,_02,40,_06,_01,_Other,_04,_06,_08,,,,,,,,_04,Enjoy that I do something different every day
68,_02,35,_06,_01,_Other,_04,_06,_08,,,,,,,,_04,Great company to grow with and leading in industry
70,_02,64,_05,_01,_02,_03,_01,,,,,,,,,_04,"Great company, great boss, great culture in an interesting industry."
71,_02,53,_03,_01,_02,_02,_03,,,,,,,,,_05,HID has inspiring leadership that I learn from every day.
72,_02,40,_02,_01,_06,_07,_08,,,,,,,,,_04,I enjoy my job.
73,_02,50,_07,_01,_04,_04,_01,_04,_06,_07,,,,,,_03,The growth is just not able to happen at my current employer.
74,_02,39,_06,_01,_03,_02,_03,,,,,,,,,_04,Not sure
75,_02,31,_05,_01,_02,_Other,_05,,,,,,,,,_04,I would like to learn as much as I can about my domain hands-on before I step into a leadership role
76,_02,54,_07,_01,_02,_04,_02,,,,,,,,,_04,I love the industry and love the people I associate with.
77,_02,52,_06,_01,_02,_Other,_02,,,,,,,,,_04,I work for a great company with great leadership
79,_02,43,_05,_01,_02,_04,_04,,,,,,,,,_04,I have been part of the security industry for close to 10 years and overall satisfied
80,_02,52,_06,_01,_04,_04,_01,,,,,,,,,_03,Upward movement
82,_02,50,_07,_01,_02,_Other,_02,,,,,,,,,_01,I’ve watched people grow in their careers while mine seems stagnant
83,_02,52,_07,_01,_04,_04,_04,_06,,,,,,,,_04,I would be extremely satisfied if I made more money.
84,_02,62,_05,_01,_01,_02,_01,_08,,,,,,,,_05,"I am able to influence the culture, the people, and the company’s success !"
85,_02,44,_07,_01,_Other,_06,_06,,,,,,,,,_02,Because there is no way to move project forward without international approval
86,_02,50,_06,_01,_01,_04,_08,,,,,,,,,_03,Company issues
87,_02,35,_05,_01,_03,_04,_06,_08,,,,,,,,_03,There’s not a lot of women in security and sometimes that influences your growth within a company
89,_02,28,_02,_01,_01,_04,_04,_08,,,,,,,,_04,I am new so there is not much to reflect on
90,_02,53,_07,_01,_02,_04,_02,,,,,,,,,_05,I’ve found my spot!  My manager is supportive!
91,_02,51,_05,_01,_03,_03,_01,,,,,,,,,_05,I belong to an organization that values me and I appreciate that
94,_02,48,_07,_01,_01,_04,_02,_03,_04,_08,,,,,,_04,The people
98,_02,54,_07,_01,_02,_03,_03,,,,,,,,,_04,I like what I do.
99,_02,58,_07,_01,_02,_04,_04,,,,,,,,,_05,I enjoy my customers and the different ways of which they utilize our systems. My coworkers are always available for consults and workshops in their perspective fields
100,_02,64,_05,_01,_02,_04,_04,,,,,,,,,_05,Great products people and customers
101,_02,50,_04,_01,_04,_03,_06,,,,,,,,,_03,Uncomfortable
103,_02,35,_03,_01,_02,_Other,_Other,,,,,,,,,_03,"Not everyone gets involved, we have the opportunity to get more people involved"
104,_02,63,_06,_01,_02,_04,_04,,,,,,,,,_03,Need more support. Wearing too many hats and need upper management to have a vested interest in our section
105,_02,62,_04,_01,_02,_04,_04,,,,,,,,,_03,Still lots of work to do
106,_02,44,_06,_01,_03,_03,_01,_04,_07,_08,,,,,,_05,"I enjoy and find value in the work that I am doing, I feel like I may a difference."
108,_02,40,_06,_01,_02,_05,_02,,,,,,,,,_04,"I love speaking to customers, especially schools, about how to improve the security of their building and ultimately for the people that spend time within it."
109,_02,62,_07,_01,_02,_02,_01,,,,,,,,,_04,We are making a difference
110,_02,57,_03,_01,_02,_Other,_02,,,,,,,,,_04,I like knowing that the product we provide keeps people safe and I get to do it with great people
111,_02,32,_06,_01,_02,_Other,_06,,,,,,,,,_04,I love what I do and feel like I’m making a difference.
112,_02,54,_05,_01,_02,_04,_02,,,,,,,,,_04,I really enjoy the industry and the ever changing technology.  I have made some excellent relationships and feel that my skills and knowledge are a great fit
113,_02,36,_05,_01,_01,_03,_01,_03,_08,,,,,,,_05,"Love the growth in the industry, wearing a variety of hats and having influence in the culture and direction of the organization"
115,_02,25,_04,_01,_Other,_Other,_06,,,,,,,,,_03,Lack of promotions and momentum otherwise very stimulating and different every day
116,_02,59,_05,_01,_Other,_Other,_Other,,,,,,,,,_04,It fits my season of life well.
118,_02,24,_03,_01,_02,_05,_03,,,,,,,,,_03,"I enjoy my team and a lot of my work but the security industry isn’t my field of interest. Also, the male upper management at my company is completely unreceptive to feedback."
119,_02,36,_04,_01,_02,_04,_Other,,,,,,,,,_02,"There are challenges in my current company. I don’t feel like I have a voice that is heard. I manage a team, but not able to make decisions on how it is run or supported, everything must go through upper management."
120,_02,35,_04,_01,_02,_04,_07,,,,,,,,,_01,"While I have made genuine connections with colleagues and I care deeply about my work, the truth is that our organization struggles under toxic leadership. This beats down almost everyone and especially the women in our company. 

To find my position in another security industry company, I would need to move my family, which I’m unwilling to do at this time."
121,_02,54,_04,_01,_04,_04,_04,,,,,,,,,_03,Challenges within my internal teams that do not seem to resolve.
122,_02,60,_06,_01,_02,_02,_03,,,,,,,,,_05,My company is not security but allows me to serve.
123,_02,27,_05,_01,_02,_05,_03,,,,,,,,,_04,I love my job and my team members
124,_02,43,_07,_01,_02,_04,_03,,,,,,,,,_04,Good work Environment and team
146,_02,27,_04,_01,_Other,_04,_06,,,,,,,,,_05,I have fun with what I do. It’s very interesting and I get to be active
153,_02,48,_06,_03,_03,_02,_01,_02,_03,,,,,,,_01,Unemployed
157,_02,40,_06,_01,_03,_04,_04,,,,,,,,,_04,Love my team.
159,_02,48,_07,_01,_Other,_Other,_06,,,,,,,,,_03,"High pressure to complete projects, find new solutions, while trying to manage 10 associates"
162,_02,60,_06,_01,_02,_04,_08,,,,,,,,,_04,Love the industry. Have worked in supply chain for over 30 years
164,_02,43,_06,_01,_Other,_03,_06,_Other,,,,,,,,_02,The non profit space is difficult as funding is always a challenge.
167,_02,52,_06,_01,_Other,_03,_03,,,,,,,,,_04,"Leadership, opportunity for growth, good life-work balance"
170,_02,51,_07,_01,_Other,_03,_02,,,,,,,,,_04,I have the support and autonomy I need to run my team effectively. My company supports me and invests in my education.
175,_02,34,_04,_01,_02,_Other,_08,,,,,,,,,_05,I love the opportunities I’ve been given!
201,_02,32,_03,_01,_03,_Other,_06,,,,,,,,,_04,I love my co workers and what I get to do every day
203,_02,51,_07,_01,_Other,_04,_06,,,,,,,,,_04,There is room for improvement and growth but I do enjoy my job.
205,_02,54,_06,_02,_03,_01,_01,,,,,,,,,_03,"The industry has been fabulous but seeing a lot more insider hiring in executive roles.  Does not seem like we are moving the needle.
This includes only having 2 women on the SIA board."
207,_02,28,_04,_01,_03,_05,_06,,,,,,,,,_04,Great team
208,_02,50,_04,_01,_04,_Other,_06,,,,,,,,,_03,I feel like I could do more of given the opportunity.
209,_02,40,_06,_01,_Other,_04,_06,,,,,,,,,_04,"I love my job, my position and my opportunities to lead and train others as well as ensure my property is secure and successful."
220,_02,57,_07,_01,_02,_Other,_02,,,,,,,,,_04,I love winning and building relationships.
223,_02,28,_02,_01,_01,_04,_08,_Other,,,,,,,,_04,A lot to learn and great opportunities
225,_02,59,_07,_07,,,,,,,,,,,,,
231,_02,49,_04,_01,_02,_04,_02,,,,,,,,,_02,I no longer feel alignment with leadership
232,_02,56,_06,_01,_02,_04,_02,,,,,,,,,_03,Missing leadership
235,_02,30,_05,_01,_04,_03,_06,,,,,,,,,_05,"I feel supported in my career, I enjoy the work, and the development opportunities are limitless."
236,_02,61,_05,_01,_03,_Other,_04,,,,,,,,,_04,Enjoy my position & responsibilities
237,_02,34,_05,_01,_03,_04,_04,,,,,,,,,_04,"It’s a start up company that has a lot of core values and a vision that I believe in, it’s hard work but worth it being a part of such a growing company, and to make an impact"
246,_02,41,_06,_01,_02,_03,_03,,,,,,,,,_04,"I have the chance to work at a level that is beyond what I would get to do in the tech world, while still being in the thick of technology. My role is all of the things, and the variety is what I love the most about it."
253,_02,46,_06,_01,_02,_04,_02,,,,,,,,,_05,Excellent company to work for with a strong company culture. Lots of resources and support
255,_02,46,_06,_01,_02,_04,_01,_04,_05,_06,_07,_08,,,,_04,"The security industry has ongoing challenges in aging technology and services. There is a tremendous opportunity for growth, development and innovation at my company."
256,_02,60,_07,_01,_Other,_01,_01,,,,,,,,,_04,Love being my own boss. Great clients. I feel appreciated. But I miss having benefits like health insurance and PTO.
257,_02,46,_07,_01,_03,_03,_01,,,,,,,,,_04,Enjoy what I do and the company I work for.
260,_02,39,_06,_03,_Other,_04,_06,,,,,,,,,_02,Laid off and looking for security management roles.
366,_02,33,_04,_01,_03,_04,_04,_06,,,,,,,,_03,There is an area of improvement
367,_02,49,_07,_01,_01,_02,_01,,,,,,,,,_05,I am challenged and creative
369,_02,39,_06,_01,_03,_04,_03,,,,,,,,,_04,I'm feeling challenged and appreciated. Also experiencing opportunities to learn and grow
371,_02,58,_07,_01,_02,_Other,_02,,,,,,,,,_04,I love helping end users solve vulnerabilities to protect their people/property
375,_02,25,_04,_01,_02,_Other,_03,,,,,,,,,_04,"Job security, tasks, leadership, and more."
378,_02,46,_07,_01,_Other,_Other,_06,,,,,,,,,_03,I feel as though my position is underutilized by my direct supervisor.
379,_02,43,_03,_01,_01,_06,_04,,,,,,,,,_02,I am still learning this industry.  It is not my passion just a job.
380,_02,54,_04,_01,_04,_04,_04,,,,,,,,,_04,I work on the construction side of physical security.  Not sure where to go from here.
382,_02,54,_07,_01,_04,_02,_06,,,,,,,,,_05,I get to do what I love everyday.
384,_02,52,_05,_01,_Other,_03,_03,,,,,,,,,_03,Opportunity for growth and advancement in the rapidly changing industry
387,_02,43,_03,_01,_03,_03,_02,,,,,,,,,_02,Expectation vs reality
391,_02,62,_07,_01,_02,_02,_01,,,,,,,,,_04,We are working hard everyday to advance the people in this industry
392,_02,31,_05,_01,_02,_03,_02,,,,,,,,,_03,Acquisitions are never fun.
393,_02,50,_07,_01,_04,_03,_01,_04,_06,,,,,,,_03,I’m still fighting the good ole boys club.
394,_02,56,_06,_01,_02,_04,_02,,,,,,,,,_04,opportunity for advancement and growth
395,_02,24,_04,_01,_02,_Other,_02,_Other,,,,,,,,_05,Opportunity for growth at company and industry wide. I am able to learn and develop on a daily basis
396,_02,28,_03,_01,_02,_Other,_02,,,,,,,,,_04,"Great team, lots to learn, opportunities to try new things"
398,_02,44,_03,_07,,,,,,,,,,,,,
399,_02,43,_06,_01,_Other,_03,_06,_Other,,,,,,,,_02,Working upwards of 60 hours per week. Personnel issues within my department.
400,_02,25,_03,_01,_02,_05,_03,,,,,,,,,_04,"I love the culture, people, and our producst that make a difference"
401,_02,38,_06,_01,_Other,_Other,_06,,,,,,,,,_04,I am exactly where I need to be right now
402,_02,39,_03,_01,_03,_04,_01,_06,,,,,,,,_03,I am loooking to return to my OSINT and intelligence analytical background and education vs. managing on site guards and client portfolios.
404,_02,61,_06,_01,_03,_01,_01,,,,,,,,,_05,I'm excited to stay abreast of the changes that AI will have for our industry
